SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,232 Castro St #2,San Francisco,CA,94114,1875000,2,2.0,Duboce Triangle,1844,,1997,1,1017,583,Active,,,http://www.redfin.com/CA/San-Francisco/232-Castro-St-94114/unit-2/home/934301,San Francisco MLS,497238,N,Y,37.7651627,-122.4357522
MLS Listing,,Single Family Residential,308 Los Palmos Dr,San Francisco,CA,94127,1250000,2,1.0,Miraloma Park,,4408,1960,1,,,Active,,,http://www.redfin.com/CA/San-Francisco/308-Los-Palmos-Dr-94127/home/688784,San Francisco MLS,500420,N,Y,37.7359723,-122.4502996
MLS Listing,,Condo/Co-op,1462 Broadway,San Francisco,CA,94109,1195000,2,2.0,Nob Hill,1171,,1909,1,1020,572,Active,,,http://www.redfin.com/CA/San-Francisco/1462-Broadway-94109/home/12525455,San Francisco MLS,500434,N,Y,37.796168,-122.421171
MLS Listing,,Condo/Co-op,170 King St #601,San Francisco,CA,94107,1299999,2,2.0,South Beach,1005,,2007,1,1294,752,Active,,,http://www.redfin.com/CA/San-Francisco/170-King-St-94107/unit-601/home/17304767,San Francisco MLS,500506,N,Y,37.7789817,-122.3917515
MLS Listing,,Single Family Residential,1968 Greenwich St,San Francisco,CA,94123,3425000,3,2.5,Cow Hollow,2418,3437,1900,1,1416,200,Active,,,http://www.redfin.com/CA/San-Francisco/1968-Greenwich-St-94123/home/1483272,San Francisco MLS,499988,N,Y,37.799718,-122.432113
MLS Listing,,Condo/Co-op,1966 Greenwich St,San Francisco,CA,94123,1400000,2,1.5,Cow Hollow,1066,,1900,1,1313,100,Active,,,http://www.redfin.com/CA/San-Francisco/1966-Greenwich-St-94123/home/1870568,San Francisco MLS,500413,N,Y,37.7996649,-122.4321307
MLS Listing,,Single Family Residential,4330 19th St,San Francisco,CA,94114,2195000,3,1.5,Eureka Valley/Dolore,1845,,1906,1,1190,,Active,,,http://www.redfin.com/CA/San-Francisco/4330-19th-St-94114/unit-4330/home/2019058,San Francisco MLS,500467,N,Y,37.759306,-122.437727
MLS Listing,,Condo/Co-op,870 Harrison St #203,SAN FRANCISCO,CA,94107,688000,1,1.0,SAN FRANCISCO,531,,2015,1,1296,598,Active,,,http://www.redfin.com/CA/San-Francisco/870-Harrison-St-94107/unit-203/home/109315432,MLSListings,ML81798425,N,Y,37.7797425,-122.4013573
MLS Listing,,Condo/Co-op,950 Tennessee St #109,San Francisco,CA,94107,929000,1,1.0,Central Waterfront,777,,2020,1,1196,544,Active,,,http://www.redfin.com/CA/San-Francisco/950-Tennessee-St-94107/unit-109/home/170136449,San Francisco MLS,500500,N,Y,37.7596747,-122.3898245
MLS Listing,,Condo/Co-op,3953 24th St #1,San Francisco,CA,94114,799000,1,2.0,Noe Valley,813,,2004,1,983,625,Active,,,http://www.redfin.com/CA/San-Francisco/3953-24th-St-94114/unit-1/home/17305778,San Francisco MLS,500473,N,Y,37.7512478,-122.4307834
MLS Listing,,Condo/Co-op,710 Arguello Blvd,San Francisco,CA,94118,1445000,3,3.0,Lone Mountain,1375,,1919,1,1051,395,Active,,,http://www.redfin.com/CA/San-Francisco/710-Arguello-Blvd-94118/home/22044507,San Francisco MLS,499776,N,Y,37.7769035,-122.4583089
MLS Listing,,Single Family Residential,26 Maddux Ave,San Francisco,CA,94124,1400000,4,2.0,Silver Terrace,1860,1685,1941,1,753,,Active,,,http://www.redfin.com/CA/San-Francisco/26-Maddux-Ave-94124/home/1591343,San Francisco MLS,500295,N,Y,37.7348067,-122.3984875
MLS Listing,,Single Family Residential,2614 25th Ave,San Francisco,CA,94116,1149000,3,1.0,Parkside,1300,2375,1947,1,884,,Active,,,http://www.redfin.com/CA/San-Francisco/2614-25th-Ave-94116/home/1954605,San Francisco MLS,498702,N,Y,37.7387219,-122.481629
MLS Listing,,Multi-Family (2-4 Unit),969-971 Oak St,San Francisco,CA,94117,2150000,5,2.0,Hayes Valley,2227,3436,1900,1,965,,Active,,,http://www.redfin.com/CA/San-Francisco/969-Oak-St-94117/home/2003458,San Francisco MLS,499723,N,Y,37.7731313,-122.4351738
MLS Listing,,Townhouse,200 Dolores St #3,San Francisco,CA,94103,1749000,2,2.5,Mission Dolores,1441,,2014,1,1214,727,Active,,,http://www.redfin.com/CA/San-Francisco/200-Dolores-St-94103/unit-3/home/49749786,San Francisco MLS,500439,N,Y,37.7660572,-122.4269225
MLS Listing,,Condo/Co-op,55 Red Rock Way Unit 110O,San Francisco,CA,94131,489000,0,1.0,Diamond Heights,474,,1972,1,1032,491,Active,,,http://www.redfin.com/CA/San-Francisco/55-Red-Rock-Way-94131/unit-110O/home/1284154,San Francisco MLS,500321,N,Y,37.7459864,-122.4410176
MLS Listing,,Condo/Co-op,1298 Treat Ave,San Francisco,CA,94110,1249000,4,2.0,Inner Mission,1250,,1900,1,999,360,Active,,,http://www.redfin.com/CA/San-Francisco/1298-Treat-Ave-94110/home/12311600,San Francisco MLS,500245,N,Y,37.7493778,-122.4127122
MLS Listing,,Condo/Co-op,1440 Broadway #304,San Francisco,CA,94109,799000,1,1.0,Nob Hill,685,,1982,1,1166,677,Active,,,http://www.redfin.com/CA/San-Francisco/1440-Broadway-94109/unit-304/home/1987159,San Francisco MLS,500333,N,Y,37.7963851,-122.4207265
MLS Listing,,Condo/Co-op,1625 Lake St,San Francisco,CA,94121,1549000,2,2.0,Lake,1577,,1995,1,982,200,Active,,,http://www.redfin.com/CA/San-Francisco/1625-Lake-St-94121/home/1409734,San Francisco MLS,500228,N,Y,37.785911,-122.4771297
MLS Listing,,Condo/Co-op,1483 Oak St,San Francisco,CA,94117,1795000,3,2.5,Haight Ashbury,2584,,1900,1,695,250,Active,,,http://www.redfin.com/CA/San-Francisco/1483-Oak-St-94117/home/931828,San Francisco MLS,500427,N,Y,37.772086,-122.443644
MLS Listing,,Multi-Family (2-4 Unit),1029 Anza St,San Francisco,CA,94118,1495000,3,2.0,Inner Richmond,2300,1873,1905,1,650,,Active,,,http://www.redfin.com/CA/San-Francisco/1029-Anza-St-94118/home/1314624,San Francisco MLS,500356,N,Y,37.7791099,-122.4593516
MLS Listing,,Single Family Residential,32 Josiah Ave,San Francisco,CA,94112,799000,1,1.0,Ingleside,,2500,1900,1,,,Active,,,http://www.redfin.com/CA/San-Francisco/32-Josiah-Ave-94112/home/1449183,San Francisco MLS,500416,N,Y,37.7186265,-122.4529937
MLS Listing,,Multi-Family (2-4 Unit),2637 Baker St,San Francisco,CA,94123,2998000,9,2.0,Cow Hollow,5055,3044,1913,1,593,,Active,,,http://www.redfin.com/CA/San-Francisco/2637-Baker-St-94123/unit-2643/home/585161,San Francisco MLS,500483,N,Y,37.7953907,-122.4456377
MLS Listing,,Condo/Co-op,435 China Basin St #521,SAN FRANCISCO,CA,94158,1550000,2,2.0,SAN FRANCISCO,1259,,2012,1,1231,783,Active,,,http://www.redfin.com/CA/San-Francisco/435-China-Basin-St-94158/unit-521/home/40629328,MLSListings,ML81798366,N,Y,37.7715936,-122.3885893
MLS Listing,,Condo/Co-op,2172 Pine St #2,San Francisco,CA,94115,1249000,1,1.0,Lower Pacific Height,1201,,1875,1,1040,330,Active,,,http://www.redfin.com/CA/San-Francisco/2172-Pine-St-94115/unit-2/home/25707640,San Francisco MLS,500449,N,Y,37.7885051,-122.4315366
MLS Listing,,Multi-Family (5+ Unit),500-504 8th Ave,San Francisco,CA,94118,2868000,6,,Inner Richmond,5015,2060,1907,1,572,,Active,,,http://www.redfin.com/CA/San-Francisco/500-8th-Ave-94118/home/172271731,San Francisco MLS,500475,N,Y,37.7788932,-122.4661732
MLS Listing,,Condo/Co-op,188 Minna St Unit 32D,San Francisco,CA,94105,3849000,2,2.5,Yerba Buena,1792,,2005,1,2148,2744,Active,,,http://www.redfin.com/CA/San-Francisco/188-Minna-St-94105/unit-32D/home/22885456,San Francisco MLS,499875,N,Y,37.7861462,-122.4013007
