,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,$/SQUARE FEET,HOA/MONTH,LATITUDE,LONGITUDE,BUILT YEAR,COORDINATES
58,Condo/Co-op,710 Arguello Blvd,San Francisco,CA,94118,1445000,3.0,3.0,Lone Mountain,1375.0,1051.0,395.0,37.776903499999996,-122.45830890000002,1919,"37.776903499999996,-122.45830890000002"
59,Single Family Residential,26 Maddux Ave,San Francisco,CA,94124,1400000,4.0,2.0,Silver Terrace,1860.0,753.0,,37.73480670000001,-122.3984875,1941,"37.73480670000001,-122.3984875"
60,Single Family Residential,2614 25th Ave,San Francisco,CA,94116,1149000,3.0,1.0,Parkside,1300.0,884.0,,37.7387219,-122.481629,1947,"37.7387219,-122.481629"
61,Multi-Family (2-4 Unit),969-971 Oak St,San Francisco,CA,94117,2150000,5.0,2.0,Hayes Valley,2227.0,965.0,,37.773131299999996,-122.43517379999999,1900,"37.773131299999996,-122.43517379999999"
62,Townhouse,200 Dolores St #3,San Francisco,CA,94103,1749000,2.0,2.5,Mission Dolores,1441.0,1214.0,727.0,37.766057200000006,-122.4269225,2014,"37.766057200000006,-122.4269225"
63,Condo/Co-op,55 Red Rock Way Unit 110O,San Francisco,CA,94131,489000,0.0,1.0,Diamond Heights,474.0,1032.0,491.0,37.7459864,-122.4410176,1972,"37.7459864,-122.4410176"
64,Condo/Co-op,1298 Treat Ave,San Francisco,CA,94110,1249000,4.0,2.0,Inner Mission,1250.0,999.0,360.0,37.7493778,-122.4127122,1900,"37.7493778,-122.4127122"
65,Condo/Co-op,1440 Broadway #304,San Francisco,CA,94109,799000,1.0,1.0,Nob Hill,685.0,1166.0,677.0,37.7963851,-122.42072649999999,1982,"37.7963851,-122.42072649999999"
66,Condo/Co-op,1625 Lake St,San Francisco,CA,94121,1549000,2.0,2.0,Lake,1577.0,982.0,200.0,37.785911,-122.4771297,1995,"37.785911,-122.4771297"
67,Condo/Co-op,1483 Oak St,San Francisco,CA,94117,1795000,3.0,2.5,Haight Ashbury,2584.0,695.0,250.0,37.772086,-122.44364399999999,1900,"37.772086,-122.44364399999999"
68,Multi-Family (2-4 Unit),1029 Anza St,San Francisco,CA,94118,1495000,3.0,2.0,Inner Richmond,2300.0,650.0,,37.7791099,-122.45935159999998,1905,"37.7791099,-122.45935159999998"
69,Single Family Residential,32 Josiah Ave,San Francisco,CA,94112,799000,1.0,1.0,Ingleside,,,,37.7186265,-122.4529937,1900,"37.7186265,-122.4529937"
70,Multi-Family (2-4 Unit),2637 Baker St,San Francisco,CA,94123,2998000,9.0,2.0,Cow Hollow,5055.0,593.0,,37.7953907,-122.4456377,1913,"37.7953907,-122.4456377"
71,Condo/Co-op,435 China Basin St #521,SAN FRANCISCO,CA,94158,1550000,2.0,2.0,SAN FRANCISCO,1259.0,1231.0,783.0,37.771593599999996,-122.38858929999999,2012,"37.771593599999996,-122.38858929999999"
72,Condo/Co-op,2172 Pine St #2,San Francisco,CA,94115,1249000,1.0,1.0,Lower Pacific Height,1201.0,1040.0,330.0,37.7885051,-122.43153659999999,1875,"37.7885051,-122.43153659999999"
73,Multi-Family (5+ Unit),500-504 8th Ave,San Francisco,CA,94118,2868000,6.0,,Inner Richmond,5015.0,572.0,,37.778893200000006,-122.46617320000001,1907,"37.778893200000006,-122.46617320000001"
74,Condo/Co-op,188 Minna St Unit 32D,San Francisco,CA,94105,3849000,2.0,2.5,Yerba Buena,1792.0,2148.0,2744.0,37.786146200000005,-122.4013007,2005,"37.786146200000005,-122.4013007"
75,Condo/Co-op,494 Filbert St,San Francisco,CA,94133,1295000,2.0,1.0,Telegraph Hill,981.0,1320.0,120.0,37.801755299999996,-122.4077021,1939,"37.801755299999996,-122.4077021"
76,Single Family Residential,421 Point Lobos Ave,San Francisco,CA,94121,1395000,2.0,2.0,Outer Richmond,1443.0,967.0,,37.7796376,-122.5077261,1941,"37.7796376,-122.5077261"
77,Condo/Co-op,355 Bryant St #104,San Francisco,CA,94107,2495000,2.0,2.0,South Beach,2206.0,1131.0,950.0,37.7835506,-122.39242150000001,1917,"37.7835506,-122.39242150000001"
78,Single Family Residential,530 Crescent Ave,San Francisco,CA,94110,1179000,2.0,1.0,Bernal Heights,1125.0,1048.0,,37.7347192,-122.415745,1938,"37.7347192,-122.415745"
79,Condo/Co-op,1410 Shrader St,San Francisco,CA,94117,1645000,2.0,1.5,Parnassus/Ashbury Heights,1607.0,1024.0,170.0,37.762190999999994,-122.45042600000001,1916,"37.762190999999994,-122.45042600000001"
80,Condo/Co-op,400 Beale St #506,San Francisco,CA,94105,1049000,2.0,1.0,South Beach,1038.0,1011.0,,37.7869049,-122.39092020000001,2002,"37.7869049,-122.39092020000001"
81,Condo/Co-op,1788 Clay St #304,San Francisco,CA,94109,1350000,2.0,2.0,Nob Hill,975.0,1385.0,723.0,37.7925699,-122.42224979999999,2014,"37.7925699,-122.42224979999999"
