id,property_type,address,city,state,zip,price,beds,baths,neighborhoods,sq-foot,price_sqfoot,hoa_month,lat,lng,built_year,coordinates
316,Condo/Co-op,1945 Hyde St #7,San Francisco,CA,94109,4700000,2,2,Russian Hill,,,1406,37.7988233,-122.4192632,1920,"37.798823299999995,-122.4192632"
317,Single Family Residential,502 Plymouth Ave,San Francisco,CA,94112,795000,2,1,Oceanview,950,837,,37.7151059,-122.4557802,1907,"37.7151059,-122.45578020000002"
318,Multi-Family (5+ Unit),1649 Market St,San Francisco,CA,94103,28500000,4,,South of Market,41544,686,,37.7733868,-122.4212372,1912,"37.7733868,-122.4212372"
319,Condo/Co-op,318 Spear St Unit 3A,San Francisco,CA,94105,1499000,2,2,South Beach,1274,1177,982,37.7897457,-122.3908558,2008,"37.789745700000005,-122.3908558"
320,Condo/Co-op,1160 Mission St #2309,San Francisco,CA,94103,899000,1,1,South of Market,,,805,37.7787037,-122.4126341,2008,"37.7787037,-122.4126341"
321,Condo/Co-op,207 King St #710,San Francisco,CA,94107,1499000,2,1.5,Mission Bay,1302,1151,656,37.7775275,-122.3916855,2003,"37.777527500000005,-122.3916855"
322,Condo/Co-op,250 King St #1504,San Francisco,CA,94107,725000,0,1,Mission Bay,595,1218,799,37.7781222,-122.3932903,2004,"37.7781222,-122.39329029999999"
323,Condo/Co-op,540 De Haro St #204,San Francisco,CA,94107,1795000,2,2.5,Potrero Hill,1495,1201,558,37.763009,-122.4016864,2020,"37.763009000000004,-122.4016864"
324,Single Family Residential,256 Fowler Ave,San Francisco,CA,94127,1998000,3,3,Miraloma Park,1892,1056,,37.7433188,-122.4520624,1932,"37.7433188,-122.4520624"
325,Single Family Residential,2590 Green St,San Francisco,CA,94123,28800000,5,8,Pacific Heights,8630,3337,,37.795586,-122.441718,1920,"37.795586,-122.441718"
326,Condo/Co-op,1488 Harrison St #204,San Francisco,CA,94103,1025000,2,2,South of Market,1102,930,614,37.7709329,-122.4124205,2001,"37.7709329,-122.41242050000001"
327,Single Family Residential,29 Park Hill Ave,San Francisco,CA,94117,4700000,4,4,Buena Vista Park,2810,1673,,37.7676583,-122.4390682,1927,"37.7676583,-122.43906820000001"
328,Single Family Residential,338 Duncan St,San Francisco,CA,94131,4895000,5,5,Noe Valley,3578,1368,,37.7462262,-122.4286088,1900,"37.7462262,-122.42860879999999"
329,Multi-Family (2-4 Unit),66-68 Cook St,San Francisco,CA,94118,2100000,3,3,Jordan Park/Laurel Heights,1905,1102,,37.7826086,-122.4519794,1900,"37.7826086,-122.4519794"
330,Townhouse,419 Fulton St #204,San Francisco,CA,94102,1795000,3,2,Hayes Valley,1443,1244,694,37.7784716,-122.4238129,2000,"37.7784716,-122.4238129"
331,Condo/Co-op,238 Moultrie St,San Francisco,CA,94110,1100000,2,1,Bernal Heights,,,,37.7411267,-122.4159219,1900,"37.7411267,-122.4159219"
332,Condo/Co-op,175 Russ St #5,San Francisco,CA,94103,849000,1,1.5,South of Market,837,1014,584,37.7781581,-122.4069909,2003,"37.7781581,-122.4069909"
333,Condo/Co-op,1075 Market St #408,San Francisco,CA,94103,724000,1,1,South of Market,554,1307,665,37.7807996,-122.4118342,2018,"37.7807996,-122.4118342"
334,Condo/Co-op,425 1st St #1506,San Francisco,CA,94105,1525000,2,2,South Beach,1238,1232,1096,37.7860625,-122.3921764,2008,"37.7860625,-122.3921764"
335,Condo/Co-op,338 Spear St Unit 20B,San Francisco,CA,94105,2695000,2,2,South Beach,,,998,37.7894137,-122.3906433,nan,"37.789413700000004,-122.3906433"
336,Condo/Co-op,65 Hermann St #1,San Francisco,CA,94102,850000,1,1,Hayes Valley,877,969,400,37.7704882,-122.426155,1959,"37.7704882,-122.42615500000001"
337,Multi-Family (5+ Unit),781 Corbett Ave,San Francisco,CA,94131,2300000,4,,Twin Peaks,3344,688,,37.7542112,-122.4425105,1955,"37.7542112,-122.4425105"
338,Condo/Co-op,318 Spear St Unit 8G,San Francisco,CA,94105,1099000,1,1,South Beach,798,1377,891,37.7897457,-122.3908558,2008,"37.789745700000005,-122.3908558"
339,Condo/Co-op,188 Minna St Unit 35D,San Francisco,CA,94105,3800000,2,2.5,Yerba Buena,1792,2121,2743,37.7861462,-122.4013007,2005,"37.786146200000005,-122.4013007"
340,Townhouse,145 Gardenside Dr #22,San Francisco,CA,94131,995000,2,1.5,Twin Peaks,1274,781,751,37.7543339,-122.4449841,1981,"37.7543339,-122.4449841"
341,Condo/Co-op,1300 22nd St #110,San Francisco,CA,94107,1095000,2,2,Potrero Hill,,,673,37.7578379,-122.3944714,2016,"37.7578379,-122.39447140000001"
342,Single Family Residential,474 Arkansas St,San Francisco,CA,94107,1185000,3,1,Potrero Hill,1105,1072,,37.7602025,-122.3984181,1914,"37.760202500000005,-122.39841809999999"
343,Condo/Co-op,73 Wood St,San Francisco,CA,94118,625000,1,1,Jordan Park/Laurel Heights,1080,579,,37.782741,-122.44948,nan,"37.782740999999994,-122.44948000000001"
344,Single Family Residential,830 Rhode Island St,San Francisco,CA,94107,2150000,0,,Potrero Hill,4150,518,,37.7592172,-122.4023154,1900,"37.7592172,-122.4023154"
345,Multi-Family (5+ Unit),734-740 Green St,San Francisco,CA,94133,7750000,21,,North Beach,10670,726,,37.799504,-122.4113437,1907,"37.799504,-122.41134369999999"
346,Condo/Co-op,155 Harriet St #8,San Francisco,CA,94103,999000,2,2,South of Market,,,652,37.7776155,-122.4049895,2001,"37.7776155,-122.4049895"
347,Condo/Co-op,769 19th Ave,San Francisco,CA,94121,1425000,2,1.5,Central Richmond,1400,1018,250,37.7734744,-122.4781367,1922,"37.7734744,-122.47813670000001"
348,Condo/Co-op,355 Buena Vista Ave Unit 512W,San Francisco,CA,94117,1425000,2,2,Buena Vista Park,1030,1383,858,37.7671808,-122.4401329,1986,"37.7671808,-122.44013290000001"
349,Single Family Residential,2587 41st Ave,San Francisco,CA,94116,1095000,3,2,Outer Parkside,1655,662,,37.738546,-122.4992286,1952,"37.738546,-122.49922859999998"
350,Condo/Co-op,1160 Mission St #1907,San Francisco,CA,94103,1200000,2,2,South of Market,1043,1151,915,37.7787037,-122.4126341,2008,"37.7787037,-122.4126341"
