id,property_type,address,city,state,zip,price,beds,baths,neighborhoods,sq-foot,price_sqfoot,hoa_month,lat,lng,built_year,coordinates
82,Condo/Co-op,1788 Clay St #304,San Francisco,CA,94109,1350000,2,2,Nob Hill,975,1385,723,37.7925699,-122.4222498,2014,"37.7925699,-122.42224979999999"
83,Condo/Co-op,178 Randall St,San Francisco,CA,94131,1695000,2,2.5,Glen Park,1465,1157,392,37.7398549,-122.4274019,2008,"37.7398549,-122.4274019"
84,Condo/Co-op,250 King St #952,San Francisco,CA,94107,2399000,3,3,Mission Bay,2450,979,1812,37.7776422,-122.3934181,2004,"37.7776422,-122.39341809999999"
85,Condo/Co-op,1895 Pacific Ave #104,San Francisco,CA,94109,599000,0,1,Pacific Heights,512,1170,440,37.7941676,-122.4262431,1931,"37.7941676,-122.4262431"
86,Single Family Residential,710 Laguna Honda Blvd,SAN FRANCISCO,CA,94127,1199000,3,1,SAN FRANCISCO,1471,815,,37.7445699,-122.4570518,1927,"37.744569899999995,-122.45705179999999"
87,Single Family Residential,58507 Dowville West,Huntington Lake,CA,93634,119000,1,1,Huntington Lake,608,196,49,37.782381,-122.41655,nan,"37.782381,-122.41655"
88,Single Family Residential,52 Santa Marina St,San Francisco,CA,94110,1645000,3,2,Bernal Heights,1601,1027,,37.739964,-122.422037,1909,"37.739964,-122.42203700000002"
89,Condo/Co-op,2031 Hayes St,San Francisco,CA,94117,1935000,3,2.5,San Francisco County,1670,1159,,37.77335709,-122.4499369,1910,"37.773357085,-122.4499369"
90,Single Family Residential,81 Pinehurst Way,San Francisco,CA,94127,1849000,4,3,Mount Davidson Manor,2468,749,,37.728052,-122.4652006,1928,"37.728052000000005,-122.4652006"
91,Single Family Residential,2 Lake Forest Ct,San Francisco,CA,94131,1495000,3,2,Forest Knolls,1408,1062,,37.7545778,-122.460004,1961,"37.7545778,-122.460004"
